dim,w,c,f_name
3,"[0.63499,0.66997,0.43175]","[0.10693,1.37365,1.51941]",ZHOU
3,"[0.69144,0.64217,0.32838]","[0.2448 ,2.13458,0.62062]",ZHOU
3,"[0.33138,0.78887,0.81605]","[0.75368,0.3567 ,1.88962]",ZHOU
3,"[0.93884,0.98787,0.01853]","[1.26219,1.07971,0.6581 ]",ZHOU
3,"[0.93169,0.66508,0.04527]","[1.21298,0.42934,1.35768]",ZHOU
3,"[0.91144,0.28439,0.66486]","[1.11629,0.73615,1.14755]",ZHOU
3,"[0.0374 ,0.53513,0.21022]","[0.33394,1.95173,0.71433]",ZHOU
3,"[0.72403,0.66315,0.22615]","[0.55695,1.63859,0.80446]",ZHOU
3,"[0.66864,0.6727 ,0.38893]","[1.70844,0.96055,0.33102]",ZHOU
3,"[0.6381 ,0.57679,0.25759]","[0.02966,1.7312 ,1.23913]",ZHOU
3,"[0.76838,0.40651,0.99006]","[0.09589,2.04631,0.8578 ]",ZHOU
3,"[0.18936,0.11259,0.96193]","[1.11534,1.7484 ,0.13626]",ZHOU
3,"[0.5249 ,0.54894,0.28797]","[0.94093,1.10002,0.95905]",ZHOU
3,"[0.6785 ,0.34995,0.39516]","[0.26678,1.33094,1.40227]",ZHOU
3,"[0.93942,0.64459,0.8429 ]","[0.39213,1.25563,1.35224]",ZHOU
3,"[0.95555,0.8293 ,0.08868]","[1.13706,1.5807 ,0.28224]",ZHOU
3,"[0.29563,0.01588,0.15148]","[1.50398,1.24985,0.24617]",ZHOU
3,"[0.60486,0.21015,0.67923]","[0.92079,1.22699,0.85223]",ZHOU
3,"[0.44596,0.30168,0.57631]","[1.91837,0.78463,0.297  ]",ZHOU
3,"[0.96728,0.71489,0.16318]","[0.30534,1.34518,1.34949]",ZHOU
3,"[0.11788,0.77148,0.79691]","[1.07398,1.47969,0.44633]",ZHOU
3,"[0.11371,0.84874,0.33513]","[0.39582,1.16296,1.44121]",ZHOU
3,"[0.6341 ,0.15943,0.28562]","[0.4444 ,1.45677,1.09884]",ZHOU
3,"[0.33116,0.28287,0.46133]","[1.33814,0.38779,1.27407]",ZHOU
3,"[0.96055,0.15297,0.56075]","[0.12776,1.61295,1.25929]",ZHOU
3,"[0.30401,0.0779 ,0.06932]","[1.22239,0.38191,1.3957 ]",ZHOU
3,"[0.42339,0.02869,0.53236]","[1.24983,0.87223,0.87793]",ZHOU
3,"[0.90471,0.46531,0.99986]","[1.26665,1.17963,0.55372]",ZHOU
3,"[0.45699,0.2767 ,0.70977]","[1.58798,0.74292,0.66909]",ZHOU
3,"[0.83902,0.77124,0.86305]","[0.92454,1.06225,1.01321]",ZHOU
3,"[0.38161,0.87937,0.12034]","[1.48134,0.07157,1.44709]",ZHOU
3,"[0.66792,0.64569,0.0004 ]","[0.82152,1.37976,0.79872]",ZHOU
3,"[0.39373,0.30175,0.25264]","[1.80106,0.70774,0.4912 ]",ZHOU
3,"[0.60566,0.23929,0.23539]","[1.14753,1.31423,0.53823]",ZHOU
3,"[0.36085,0.47144,0.09692]","[1.70231,1.08729,0.2104 ]",ZHOU
3,"[0.98022,0.18257,0.92562]","[0.76752,0.53879,1.69369]",ZHOU
3,"[0.9689 ,0.38906,0.12175]","[1.12938,1.35361,0.517  ]",ZHOU
3,"[0.43491,0.9006 ,0.39944]","[1.5526 ,1.12662,0.32078]",ZHOU
3,"[0.44351,0.37055,0.883  ]","[0.91509,0.6003 ,1.48461]",ZHOU
3,"[0.0991 ,0.23329,0.56763]","[0.65012,0.43387,1.91601]",ZHOU
3,"[0.96379,0.30043,0.80486]","[0.72934,1.19416,1.0765 ]",ZHOU
3,"[0.94798,0.18111,0.85449]","[0.92038,1.35228,0.72734]",ZHOU
3,"[0.96905,0.38637,0.09999]","[1.06628,0.77429,1.15943]",ZHOU
3,"[0.20975,0.28434,0.41157]","[0.79102,0.52664,1.68233]",ZHOU
3,"[0.96235,0.78801,0.47056]","[1.43716,0.13123,1.43161]",ZHOU
3,"[0.28532,0.48351,0.60121]","[1.78419,1.06128,0.15453]",ZHOU
3,"[0.16054,0.95389,0.56247]","[1.13629,1.41435,0.44935]",ZHOU
3,"[0.4828 ,0.77118,0.20095]","[0.60163,1.33255,1.06582]",ZHOU
3,"[0.1667 ,0.50807,0.76601]","[0.51245,0.76287,1.72468]",ZHOU
3,"[0.07513,0.28081,0.19576]","[2.62798,0.02377,0.34825]",ZHOU
3,"[0.69497,0.3772 ,0.15437]","[1.40937,1.45474,0.13589]",CONTINUOUS
3,"[0.30265,0.94119,0.67907]","[0.9021 ,0.01417,2.08373]",CONTINUOUS
3,"[0.46999,0.50312,0.63122]","[1.15277,1.10558,0.74165]",CONTINUOUS
3,"[0.65529,0.86875,0.60453]","[1.38521,0.10117,1.51362]",CONTINUOUS
3,"[0.83358,0.21768,0.92725]","[1.30021,0.52504,1.17475]",CONTINUOUS
3,"[0.49979,0.36435,0.79117]","[0.56704,1.04375,1.38921]",CONTINUOUS
3,"[0.76468,0.81839,0.90961]","[1.14097,1.71736,0.14167]",CONTINUOUS
3,"[0.65032,0.76599,0.06602]","[1.45008,0.23478,1.31514]",CONTINUOUS
3,"[0.05231,0.40198,0.27885]","[0.56506,1.73059,0.70435]",CONTINUOUS
3,"[0.75339,0.01609,0.48797]","[1.2458 ,0.20983,1.54438]",CONTINUOUS
3,"[0.36262,0.20808,0.81574]","[0.90779,0.77578,1.31643]",CONTINUOUS
3,"[0.53257,0.43886,0.67912]","[2.5144 ,0.20711,0.27848]",CONTINUOUS
3,"[0.76246,0.34308,0.36687]","[0.78983,0.37381,1.83636]",CONTINUOUS
3,"[0.99378,0.64792,0.24369]","[1.76195,0.26993,0.96812]",CONTINUOUS
3,"[0.25007,0.59758,0.65811]","[0.81315,0.16233,2.02453]",CONTINUOUS
3,"[0.75478,0.14389,0.77604]","[0.93233,0.94457,1.1231 ]",CONTINUOUS
3,"[0.32256,0.14525,0.2798 ]","[0.18944,0.17794,2.63261]",CONTINUOUS
3,"[0.64522,0.87416,0.20688]","[0.67126,1.73651,0.59223]",CONTINUOUS
3,"[0.0553 ,0.39142,0.22875]","[0.821  ,1.21001,0.96899]",CONTINUOUS
3,"[0.5515 ,0.59867,0.00356]","[0.32919,2.17742,0.49339]",CONTINUOUS
