dim,w,c,f_name
9,"[0.66207,0.96344,0.74994,0.34723,0.68038,0.06519,0.13073,0.75667,0.70172]","[0.35612,2.06375,0.75375,0.23474,0.17728,0.89709,1.57729,1.36991,1.57007]",ZHOU
9,"[0.72725,0.68953,0.45914,0.55193,0.94219,0.02359,0.17815,0.5366 ,0.94044]","[0.85528,0.41231,1.10198,0.81503,0.45398,1.51988,1.5291 ,1.05842,1.25402]",ZHOU
9,"[0.20165,0.50676,0.64163,0.94312,0.57954,0.25156,0.51539,0.29297,0.66836]","[1.44939,0.30626,0.00842,0.95701,1.37121,1.56538,0.85957,0.15382,2.32894]",ZHOU
9,"[0.30874,0.23375,0.46689,0.76116,0.37265,0.55641,0.73372,0.60898,0.94569]","[0.42418,0.82477,0.23399,0.36236,1.2467 ,1.65735,1.94594,0.74836,1.55635]",ZHOU
9,"[0.61659,0.16705,0.41598,0.72616,0.93473,0.34363,0.69304,0.83962,0.79484]","[1.41506,0.90048,0.80749,1.4027 ,0.19595,0.67527,1.31252,0.65544,1.63509]",ZHOU
9,"[0.33369,0.1412 ,0.49078,0.02119,0.4774 ,0.90295,0.20965,0.38518,0.39257]","[1.87295,0.45136,0.01252,2.15625,1.9999 ,0.08562,0.5183 ,1.27413,0.62899]",ZHOU
9,"[0.01399,0.59909,0.0451 ,0.96613,0.93744,0.31365,0.03625,0.55259,0.96114]","[1.09794,1.01633,2.24966,1.16538,1.87928,0.01074,1.45901,0.09485,0.02681]",ZHOU
9,"[0.58824,0.99178,0.88163,0.39893,0.10692,0.97155,0.87903,0.38768,0.56583]","[0.63759,1.57881,0.26466,1.34072,0.28742,1.04869,1.86531,0.36547,1.61132]",ZHOU
9,"[0.26101,0.91943,0.64616,0.35379,0.15213,0.26397,0.44435,0.50978,0.67131]","[1.52745,1.3495 ,1.13419,1.19657,0.87952,1.5756 ,0.11342,1.19968,0.02407]",ZHOU
9,"[0.58082,0.39672,0.78196,0.70746,0.97159,0.62742,0.93816,0.28858,0.34018]","[0.33862,1.03259,1.25229,0.35792,0.06242,1.9556 ,1.15912,1.56146,1.27998]",ZHOU
9,"[0.15345,0.2077 ,0.67329,0.0259 ,0.02591,0.08776,0.44413,0.9061 ,0.50793]","[0.39742,1.27721,1.15899,0.2467 ,0.87694,1.46968,1.25244,1.47426,0.84635]",ZHOU
9,"[0.54619,0.42035,0.43924,0.22522,0.85646,0.88922,0.49963,0.69906,0.42837]","[1.33998,1.3656 ,0.69369,1.36578,1.06554,0.64652,1.23835,0.85445,0.43009]",ZHOU
9,"[0.27856,0.13353,0.07389,0.23799,0.25632,0.51209,0.42981,0.33895,0.78159]","[1.6559 ,0.69379,0.96763,1.54963,1.63661,1.27217,0.27411,0.92456,0.02559]",ZHOU
9,"[0.33018,0.94811,0.26911,0.56584,0.06426,0.89192,0.44469,0.01348,0.63756]","[1.13537,1.66284,1.10078,1.25226,0.7073 ,0.6098 ,1.11568,0.37594,1.04004]",ZHOU
