dim,w,c,f_name
8,"[0.12543,0.83805,0.99849,0.15177,0.14653,0.24171,0.22783,0.02717]","[0.38428,1.78748,1.41309,0.6574 ,0.25947,1.22259,1.53257,0.74312]",ZHOU
8,"[0.4297 ,0.66274,0.07306,0.19713,0.18148,0.90485,0.91549,0.50064]","[1.73346,0.6085 ,1.87176,1.08728,0.60199,0.40708,0.08429,1.60562]",ZHOU
8,"[0.89275,0.63259,0.85722,0.83626,0.3042 ,0.57205,0.04449,0.56824]","[0.36059,0.64846,1.25258,1.56098,0.94785,0.81061,1.30852,1.11041]",ZHOU
8,"[0.33127,0.27482,0.33161,0.34364,0.78719,0.86304,0.23176,0.58663]","[1.44994,1.38518,0.44891,1.304  ,0.50778,1.07754,0.83333,0.99333]",ZHOU
8,"[0.74708,0.9565 ,0.96745,0.21165,0.62802,0.86535,0.32432,0.23515]","[1.44483,0.81623,1.7267 ,0.22226,1.45034,0.76383,1.43776,0.13804]",ZHOU
8,"[0.84679,0.6327 ,0.9462 ,0.21798,0.95073,0.96527,0.91137,0.1723 ]","[0.73928,0.43682,0.22951,1.18243,1.95464,2.27663,0.49752,0.68316]",ZHOU
8,"[0.72996,0.73226,0.38268,0.50398,0.52192,0.6595 ,0.23608,0.64879]","[0.93738,1.8934 ,1.52301,0.96037,1.32853,0.43599,0.14901,0.77231]",ZHOU
8,"[0.11426,0.58271,0.44512,0.29269,0.01511,0.53211,0.40207,0.14578]","[1.34906,1.63132,0.71504,0.92844,0.57247,0.8306 ,1.18055,0.79252]",ZHOU
8,"[0.77591,0.30434,0.26109,0.30217,0.32116,0.57255,0.89028,0.76516]","[2.20902,0.90869,0.70838,0.23333,0.61422,1.67613,0.06514,1.58509]",ZHOU
8,"[0.75654,0.64   ,0.49906,0.22038,0.66981,0.43303,0.65909,0.6062 ]","[0.21597,1.37957,1.02975,1.88414,0.13933,1.41641,1.50037,0.43446]",ZHOU
8,"[0.99588,0.82774,0.78841,0.64676,0.80419,0.90351,0.8719 ,0.51544]","[0.61104,1.59843,0.92259,0.40556,0.4784 ,0.5421 ,1.73426,1.70761]",ZHOU
8,"[0.19444,0.97979,0.07467,0.3692 ,0.85336,0.15242,0.70044,0.34567]","[1.88938,1.3159 ,1.20607,0.82423,0.14123,1.63173,0.57889,0.41258]",ZHOU
8,"[0.42011,0.85298,0.98292,0.40541,0.2129 ,0.69084,0.53151,0.92585]","[0.99627,0.58161,1.32658,0.62319,1.41258,1.58334,1.00598,0.47045]",ZHOU
8,"[0.44653,0.34709,0.08272,0.26073,0.52245,0.85051,0.75529,0.80566]","[0.85786,0.8828 ,1.05632,0.19715,1.33804,1.4841 ,0.88208,1.30164]",ZHOU
8,"[0.58699,0.83389,0.17099,0.15589,0.16447,0.38916,0.40076,0.16837]","[0.79521,1.24041,0.46863,0.75556,0.97804,1.73389,1.40817,0.62007]",ZHOU
8,"[0.20965,0.8388 ,0.8505 ,0.96259,0.28755,0.57129,0.55314,0.4386 ]","[0.17861,1.75668,0.30048,2.17178,0.0768 ,1.88032,0.96391,0.67142]",ZHOU
8,"[0.78314,0.15009,0.03435,0.50264,0.92304,0.61758,0.88657,0.18828]","[0.09922,1.29443,1.20895,1.3843 ,0.42006,1.44318,0.66259,1.48728]",ZHOU
8,"[0.40456,0.3434 ,0.37899,0.35401,0.67724,0.92625,0.73422,0.97513]","[0.32343,0.7135 ,1.13017,1.30071,1.39253,1.497  ,0.37752,1.26513]",ZHOU
8,"[0.36209,0.1671 ,0.02635,0.2786 ,0.61318,0.88305,0.38786,0.62759]","[1.77874,1.91226,1.20492,1.40951,0.61338,0.14912,0.23771,0.69436]",ZHOU
8,"[0.67891,0.85555,0.37256,0.64808,0.94217,0.13371,0.28596,0.92199]","[1.39396,0.77826,1.37725,0.77273,0.56102,1.29575,1.32344,0.49759]",ZHOU
8,"[0.44334,0.19467,0.89733,0.5703 ,0.31176,0.73466,0.3277 ,0.03223]","[1.27939,1.10183,1.16654,1.25946,0.85833,1.00311,0.68117,0.65017]",ZHOU
8,"[0.22177,0.01993,0.14389,0.31617,0.25942,0.20249,0.49598,0.72995]","[0.32846,1.32841,1.41786,0.36119,1.58018,1.64237,0.60403,0.7375 ]",ZHOU
8,"[0.98449,0.58878,0.7944 ,0.04597,0.48843,0.81484,0.70333,0.30886]","[0.47448,0.61398,1.44692,0.71455,1.48963,0.42021,1.54823,1.292  ]",ZHOU
