dim,w,c,f_name
2,"[0.37454,0.95071]","[1.1002,0.8998]",ZHOU
2,"[0.15602,0.15599]","[0.12569,1.87431]",ZHOU
2,"[0.60112,0.70807]","[0.04156,1.95844]",ZHOU
2,"[0.83244,0.21234]","[0.99568,1.00432]",ZHOU
2,"[0.30424,0.52476]","[1.19458,0.80542]",ZHOU
2,"[0.61185,0.13949]","[0.88729,1.11271]",ZHOU
2,"[0.45607,0.78518]","[0.55938,1.44062]",ZHOU
2,"[0.59241,0.04645]","[1.56167,0.43833]",ZHOU
2,"[0.06505,0.94889]","[1.08863,0.91137]",ZHOU
2,"[0.30461,0.09767]","[1.21708,0.78292]",ZHOU
2,"[0.12204,0.49518]","[0.07288,1.92712]",ZHOU
2,"[0.25878,0.66252]","[0.7495,1.2505]",ZHOU
2,"[0.54671,0.18485]","[1.11145,0.88855]",ZHOU
2,"[0.9395 ,0.89483]","[0.78683,1.21317]",ZHOU
2,"[0.08849,0.19598]","[0.2441,1.7559]",ZHOU
2,"[0.38868,0.27135]","[1.39813,0.60187]",ZHOU
2,"[0.28093,0.5427 ]","[0.29885,1.70115]",ZHOU
2,"[0.07455,0.98689]","[1.59068,0.40932]",ZHOU
2,"[0.00552,0.81546]","[0.98457,1.01543]",ZHOU
2,"[0.77127,0.07404]","[1.51145,0.48855]",ZHOU
2,"[0.8631,0.6233]","[1.67774,0.32226]",ZHOU
2,"[0.31098,0.32518]","[1.06733,0.93267]",ZHOU
2,"[0.88721,0.47221]","[0.2872,1.7128]",ZHOU
2,"[0.76079,0.56128]","[1.21915,0.78085]",ZHOU
2,"[0.52273,0.42754]","[0.38135,1.61865]",ZHOU
2,"[0.03143,0.63641]","[0.764,1.236]",ZHOU
2,"[0.90757,0.24929]","[0.70396,1.29604]",ZHOU
2,"[0.2288 ,0.07698]","[1.28501,0.71499]",ZHOU
2,"[0.9297 ,0.80812]","[0.84181,1.15819]",ZHOU
2,"[0.80367,0.18657]","[1.24668,0.75332]",ZHOU
2,"[0.80744,0.89609]","[1.48581,0.51419]",ZHOU
2,"[0.22794,0.42711]","[0.97455,1.02545]",ZHOU
2,"[0.00695,0.51075]","[1.30539,0.69461]",ZHOU
2,"[0.11987,0.33762]","[1.48946,0.51054]",ZHOU
2,"[0.51879,0.70302]","[0.5446,1.4554]",ZHOU
2,"[0.96245,0.25178]","[1.24604,0.75396]",ZHOU
2,"[0.28484,0.03689]","[1.0961,0.9039]",ZHOU
2,"[0.05148,0.27865]","[1.58258,0.41742]",ZHOU
2,"[0.14489,0.48945]","[1.60568,0.39432]",ZHOU
2,"[0.67214,0.76162]","[0.49208,1.50792]",ZHOU
2,"[0.36778,0.63231]","[1.0836,0.9164]",ZHOU
2,"[0.09029,0.8353 ]","[1.26466,0.73534]",ZHOU
2,"[0.04078,0.59089]","[1.95221,0.04779]",ZHOU
2,"[0.51209,0.2265 ]","[1.57448,0.42552]",ZHOU
2,"[0.69094,0.38674]","[1.74397,0.25603]",ZHOU
2,"[0.34107,0.11347]","[1.02628,0.97372]",ZHOU
2,"[0.25794,0.65998]","[1.19092,0.80908]",ZHOU
2,"[0.52965,0.24185]","[0.18803,1.81197]",ZHOU
2,"[0.90042,0.6331 ]","[0.98521,1.01479]",ZHOU
2,"[0.72596,0.89711]","[1.06432,0.93568]",ZHOU
2,"[0.64203,0.08414]","[0.30491,1.69509]",CONTINUOUS
2,"[0.60643,0.0092 ]","[0.26529,1.73471]",CONTINUOUS
2,"[0.00506,0.16081]","[0.88461,1.11539]",CONTINUOUS
2,"[0.65196,0.22427]","[1.50023,0.49977]",CONTINUOUS
2,"[0.3254 ,0.74649]","[0.86684,1.13316]",CONTINUOUS
2,"[0.65761,0.56831]","[0.40605,1.59395]",CONTINUOUS
2,"[0.2652 ,0.24399]","[1.4245,0.5755]",CONTINUOUS
2,"[0.89205,0.63114]","[1.22519,0.77481]",CONTINUOUS
2,"[0.5769 ,0.49252]","[0.42551,1.57449]",CONTINUOUS
2,"[0.28077,0.02432]","[1.56938,0.43062]",CONTINUOUS
2,"[0.94046,0.95393]","[1.42389,0.57611]",CONTINUOUS
2,"[0.01546,0.92832]","[0.61395,1.38605]",CONTINUOUS
2,"[0.96362,0.85301]","[0.8666,1.1334]",CONTINUOUS
2,"[0.85114,0.31692]","[0.46673,1.53327]",CONTINUOUS
2,"[0.93615,0.69603]","[1.70872,0.29128]",CONTINUOUS
2,"[0.61501,0.99005]","[0.42552,1.57448]",CONTINUOUS
2,"[0.87737,0.74077]","[0.99609,1.00391]",CONTINUOUS
2,"[0.35949,0.29359]","[0.99954,1.00046]",CONTINUOUS
2,"[0.86707,0.91324]","[1.0097,0.9903]",CONTINUOUS
2,"[0.7983 ,0.64996]","[0.93736,1.06264]",CONTINUOUS
2,"[0.89001,0.338  ]","[1.59971,0.40029]",CONTINUOUS
2,"[0.57828,0.03594]","[0.92358,1.07642]",CONTINUOUS
2,"[0.28654,0.59083]","[0.89907,1.10093]",CONTINUOUS
2,"[0.8226 ,0.36019]","[0.39137,1.60863]",CONTINUOUS
2,"[0.76999,0.21582]","[1.75899,0.24101]",CONTINUOUS
2,"[0.05168,0.53135]","[0.91784,1.08216]",CONTINUOUS
2,"[0.72609,0.97585]","[1.23038,0.76962]",CONTINUOUS
2,"[0.79519,0.27083]","[1.69674,0.30326]",CONTINUOUS
2,"[0.02535,0.96265]","[1.09139,0.90861]",CONTINUOUS
