dim,w,c,f_name
6,"[0.19713,0.65822,0.97481,0.56014,0.75751,0.6844 ]","[1.11493,0.52455,0.31936,1.30574,1.61662,1.11879]",ZHOU
6,"[0.40187,0.91777,0.63978,0.16822,0.5062 ,0.40249]","[1.65951,0.15822,0.94806,1.0079 ,0.47066,1.75565]",ZHOU
6,"[0.74752,0.2937 ,0.3208 ,0.95006,0.6584 ,0.0932 ]","[0.81914,0.53453,0.9438 ,1.66988,1.51546,0.51718]",ZHOU
6,"[0.44893,0.6251 ,0.74344,0.29734,0.0117 ,0.45384]","[0.88061,0.85233,1.37481,1.47111,0.46728,0.95386]",ZHOU
6,"[0.81539,0.60123,0.40994,0.46067,0.09992,0.93628]","[0.88139,1.02339,3.13071,0.1197 ,0.30217,0.54264]",ZHOU
6,"[0.0111 ,0.14375,0.19095,0.14298,0.70841,0.6104 ]","[0.68476,0.00114,1.4391 ,1.13173,1.30688,1.43639]",ZHOU
6,"[0.45459,0.16952,0.57165,0.73783,0.03623,0.59426]","[1.49462,0.17936,1.28583,1.36793,1.34439,0.32787]",ZHOU
6,"[0.9579 ,0.73165,0.8815 ,0.18238,0.12608,0.65576]","[0.01287,1.6387 ,0.23977,1.57409,1.2364 ,1.29817]",ZHOU
6,"[0.08036,0.82435,0.01078,0.57174,0.08671,0.35456]","[0.85028,0.99718,1.28766,0.8375 ,0.72293,1.30444]",ZHOU
6,"[0.4106 ,0.51021,0.66314,0.33497,0.10949,0.76015]","[1.17318,1.27229,1.4412 ,0.87346,0.37592,0.86394]",ZHOU
6,"[0.42024,0.04236,0.13479,0.71581,0.15509,0.40017]","[0.43992,1.66088,2.04909,1.41735,0.07595,0.35681]",ZHOU
6,"[0.45339,0.07389,0.40411,0.08701,0.6392 ,0.87069]","[1.39753,0.66084,1.42921,1.61453,0.41199,0.48589]",ZHOU
6,"[0.31487,0.60172,0.80417,0.2845 ,0.67817,0.59729]","[0.25557,0.67014,2.33319,0.67425,1.28275,0.78411]",ZHOU
6,"[0.37672,0.73613,0.98349,0.94074,0.35243,0.44601]","[0.13522,0.62113,1.52409,1.54624,0.24404,1.92927]",ZHOU
6,"[0.85786,0.96479,0.63776,0.46578,0.34395,0.65212]","[1.30486,0.9028 ,1.34993,0.58431,0.35732,1.50078]",ZHOU
6,"[0.03301,0.54946,0.35097,0.24946,0.4933 ,0.58645]","[0.88388,0.6835 ,0.02336,2.002  ,0.61811,1.78916]",ZHOU
6,"[0.51404,0.09431,0.34353,0.41669,0.66859,0.12536]","[1.15171,1.02359,0.13869,0.02705,1.60132,2.05764]",ZHOU
6,"[0.40892,0.42732,0.93026,0.45359,0.19627,0.72041]","[1.15918,0.98826,0.98844,1.16808,1.21716,0.47887]",ZHOU
6,"[0.90728,0.78663,0.68885,0.69307,0.58509,0.18565]","[0.91115,1.30063,1.33206,0.77305,0.4336 ,1.24951]",ZHOU
6,"[0.03723,0.01368,0.27437,0.60633,0.75159,0.00532]","[1.60664,1.8049 ,0.0652 ,1.95885,0.23388,0.33053]",ZHOU
6,"[0.70598,0.67978,0.57672,0.6827 ,0.17785,0.46319]","[0.04749,1.86593,0.73188,0.96516,1.27392,1.11562]",ZHOU
6,"[0.52294,0.96452,0.51282,0.57206,0.44033,0.25032]","[0.85905,1.24834,0.5496 ,1.06279,0.90583,1.37438]",ZHOU
6,"[0.51545,0.1118 ,0.54061,0.47604,0.84307,0.32719]","[0.55122,0.05553,1.42209,0.89044,1.96706,1.11366]",ZHOU
6,"[0.49973,0.74814,0.58514,0.70463,0.82787,0.81668]","[0.06079,1.18062,1.14996,1.14794,0.9574 ,1.50328]",ZHOU
6,"[0.84246,0.69914,0.12564,0.55306,0.78105,0.80158]","[2.04109,1.06625,0.16903,1.61893,0.85242,0.25228]",ZHOU
6,"[0.28276,0.08149,0.47273,0.58093,0.21504,0.57847]","[1.22478,1.1025 ,1.52522,0.30194,0.99101,0.85455]",ZHOU
6,"[0.66065,0.85916,0.07213,0.55109,0.9497 ,0.64167]","[1.36075,0.4873 ,1.07789,0.97459,0.65575,1.44372]",ZHOU
6,"[0.3707 ,0.68979,0.44834,0.6922 ,0.25193,0.49419]","[1.12925,1.38809,1.03738,1.57076,0.48257,0.39195]",ZHOU
6,"[0.9995 ,0.62125,0.9089 ,0.68641,0.31049,0.57125]","[1.44844,0.70688,0.19542,1.48115,0.63214,1.53597]",ZHOU
6,"[0.41189,0.43067,0.65941,0.74556,0.65144,0.13932]","[1.64298,0.44363,0.9935 ,0.37192,1.88927,0.65869]",ZHOU
6,"[0.93931,0.13663,0.68078,0.53424,0.09184,0.41105]","[1.72206,1.65813,1.31939,0.3614 ,0.1257 ,0.81331]",ZHOU
6,"[0.88842,0.29264,0.40243,0.493  ,0.13119,0.70591]","[0.73442,0.71392,2.44219,0.65201,1.40158,0.05588]",ZHOU
6,"[0.5373 ,0.68719,0.02407,0.90446,0.49058,0.61635]","[0.98758,0.91284,1.33397,0.76385,0.83191,1.16984]",ZHOU
6,"[0.46167,0.45572,0.41133,0.29001,0.575  ,0.43958]","[1.10312,1.28275,0.36833,1.50911,1.63118,0.10551]",ZHOU
6,"[0.62593,0.25847,0.19138,0.76648,0.45574,0.26783]","[0.49162,0.23011,0.99956,1.07785,1.63904,1.56182]",ZHOU
6,"[0.58847,0.50414,0.24655,0.41249,0.51166,0.04911]","[1.60528,1.00095,0.27895,1.61596,0.95601,0.54285]",ZHOU
6,"[0.88785,0.93313,0.51842,0.27477,0.0425 ,0.50776]","[0.11066,1.61994,0.30973,0.289  ,2.08413,1.58655]",ZHOU
6,"[0.76277,0.75008,0.7591 ,0.34956,0.07863,0.00012]","[1.08695,1.07346,0.55808,0.52108,1.24293,1.5175 ]",ZHOU
6,"[0.17779,0.54969,0.24807,0.24216,0.60727,0.97619]","[0.17006,0.45044,1.17955,1.51489,1.34214,1.3429 ]",ZHOU
6,"[0.95848,0.35286,0.0238 ,0.32569,0.44573,0.90684]","[0.75245,0.38321,1.39897,0.91718,1.52866,1.01952]",ZHOU
6,"[0.4325 ,0.26283,0.3755 ,0.26774,0.65369,0.12242]","[1.47774,1.07769,0.21856,1.44862,0.33158,1.44581]",ZHOU
6,"[0.8274 ,0.65103,0.00472,0.56192,0.47409,0.02792]","[1.64045,0.7479 ,0.52101,1.06297,1.96789,0.05978]",ZHOU
6,"[0.39383,0.56535,0.27127,0.84084,0.11183,0.47868]","[1.16617,0.94652,1.79247,0.39423,1.61506,0.08555]",ZHOU
6,"[0.17109,0.35705,0.14781,0.38578,0.34075,0.04364]","[0.98022,0.4125 ,1.43534,1.4368 ,0.21786,1.51729]",ZHOU
6,"[0.78186,0.73522,0.21163,0.7153 ,0.99712,0.21765]","[1.53892,0.36944,0.34991,2.72635,0.25763,0.75775]",ZHOU
6,"[0.16846,0.04348,0.04532,0.55767,0.02025,0.52868]","[1.03547,1.30466,0.18977,0.86283,1.49767,1.1096 ]",ZHOU
6,"[0.24623,0.68192,0.3073 ,0.88681,0.01331,0.44663]","[2.54578,0.27649,0.98464,0.27353,0.83297,1.08659]",ZHOU
