dim,w,c,f_name
7,"[0.59662,0.91005,0.59981,0.14536,0.14464,0.75542,0.28298]","[1.45802,0.30047,0.91913,1.40522,0.98837,0.48104,1.44775]",ZHOU
7,"[0.63703,0.43568,0.6406 ,0.47006,0.62797,0.82107,0.37274]","[1.07421,0.70365,1.098  ,1.11704,1.21381,0.92803,0.86527]",ZHOU
7,"[0.45646,0.90395,0.04568,0.71585,0.82647,0.73276,0.04529]","[0.22985,1.10652,1.48437,1.02234,0.97417,1.29104,0.89172]",ZHOU
7,"[0.39105,0.13301,0.77137,0.67631,0.3518 ,0.6001 ,0.75199]","[0.42705,2.55598,0.40527,0.70632,0.77957,1.05301,1.07281]",ZHOU
7,"[0.83906,0.13479,0.19069,0.28469,0.7088 ,0.41888,0.06044]","[1.22938,1.50156,0.31068,0.71414,0.66789,0.79855,1.77779]",ZHOU
7,"[0.98035,0.90092,0.59424,0.61339,0.59924,0.81568,0.89034]","[0.03492,1.63294,2.31252,1.55436,0.83442,0.28563,0.34521]",ZHOU
7,"[0.17925,0.83882,0.66366,0.98641,0.89986,0.66786,0.25532]","[0.89343,0.2193 ,0.56536,1.06942,1.3625 ,1.45879,1.4312 ]",ZHOU
7,"[0.57922,0.10985,0.44477,0.69658,0.97664,0.736  ,0.32635]","[0.92111,1.64727,0.48168,1.89889,0.45402,0.57232,1.02473]",ZHOU
7,"[0.12555,0.69324,0.82253,0.02249,0.32137,0.8192 ,0.81639]","[2.57195,0.48185,0.12353,0.05292,2.10859,1.0736 ,0.58757]",ZHOU
7,"[0.86787,0.77346,0.55744,0.58578,0.26794,0.59465,0.23047]","[0.13543,1.6192 ,1.00743,0.64187,1.52191,1.51015,0.56402]",ZHOU
7,"[0.07769,0.07397,0.38902,0.99035,0.76096,0.125  ,0.30052]","[1.12635,0.99783,0.73342,0.48375,2.06594,0.95883,0.63387]",ZHOU
7,"[0.43531,0.26353,0.17727,0.83932,0.15963,0.64023,0.60782]","[1.46751,1.03951,1.54372,0.67535,1.33988,0.28801,0.64601]",ZHOU
7,"[0.36273,0.16035,0.21378,0.61663,0.6617 ,0.93765,0.09943]","[0.6601 ,1.38284,1.13523,0.90605,1.5926 ,1.06013,0.26305]",ZHOU
7,"[0.3098 ,0.93852,0.92416,0.1145 ,0.92149,0.92697,0.95386]","[0.01586,1.55892,0.96497,1.26666,0.86828,1.82027,0.50504]",ZHOU
7,"[0.55525,0.65466,0.68676,0.79581,0.10867,0.8667 ,0.88332]","[1.98997,2.2545 ,0.33834,0.2667 ,0.90492,0.90412,0.34144]",ZHOU
7,"[0.97104,0.59684,0.06554,0.11952,0.90085,0.77363,0.47741]","[0.85016,1.1876 ,0.61548,1.86095,0.013  ,1.50627,0.96652]",ZHOU
7,"[0.67158,0.12129,0.9463 ,0.5289 ,0.39814,0.99503,0.16092]","[0.69902,1.08551,0.3721 ,1.23203,1.26392,0.87728,1.47014]",ZHOU
7,"[0.88057,0.63682,0.00643,0.52147,0.44744,0.84448,0.86152]","[1.0235 ,1.67714,1.21593,0.53767,1.91213,0.39254,0.24109]",ZHOU
7,"[0.42575,0.05513,0.94133,0.48314,0.09798,0.19264,0.374  ]","[2.15676,1.71575,0.38128,0.18978,0.41723,0.58662,1.55257]",ZHOU
7,"[0.35628,0.25779,0.21108,0.11266,0.13298,0.98543,0.78605]","[0.7001 ,2.10943,0.36018,0.70017,0.50465,2.13702,0.48844]",ZHOU
7,"[0.87641,0.09856,0.00133,0.57923,0.23435,0.40335,0.13994]","[0.96569,0.77585,1.24148,1.34112,0.77271,0.86396,1.03918]",ZHOU
7,"[0.84355,0.56437,0.14656,0.37529,0.7817 ,0.70144,0.49873]","[0.68121,0.71809,1.76568,1.08098,0.24873,1.79527,0.71004]",ZHOU
7,"[0.33351,0.78325,0.77887,0.82998,0.30777,0.29555,0.7648 ]","[0.00243,0.60024,1.1597 ,1.66786,0.87569,1.65446,1.03962]",ZHOU
7,"[0.52015,0.08132,0.00298,0.80754,0.83422,0.83733,0.02023]","[1.47629,1.41203,0.15846,0.51327,1.11684,1.20852,1.11458]",ZHOU
7,"[0.8442 ,0.84787,0.31176,0.7414 ,0.34985,0.38864,0.81896]","[1.21114,1.06612,0.9761 ,1.08773,1.01468,0.8397 ,0.80454]",ZHOU
7,"[0.20492,0.71214,0.59917,0.2063 ,0.44297,0.28812,0.52294]","[0.08777,1.74297,1.7373 ,0.47484,0.65294,2.14509,0.1591 ]",ZHOU
7,"[0.61971,0.14149,0.72434,0.77922,0.02385,0.82451,0.33015]","[0.31788,1.82575,0.07425,1.99098,1.0432 ,0.43769,1.31026]",ZHOU
7,"[0.62543,0.44705,0.6694 ,0.74002,0.56501,0.14248,0.97889]","[0.79231,1.44299,0.41204,1.89306,0.48741,1.87952,0.09267]",ZHOU
7,"[0.04651,0.53483,0.48474,0.90083,0.5605 ,0.91525,0.69398]","[0.78684,1.34927,1.15886,0.64067,1.47389,1.49621,0.09425]",ZHOU
7,"[0.56325,0.37306,0.87786,0.52848,0.60797,0.5473 ,0.50875]","[1.0993 ,1.40559,0.54242,1.20445,1.37145,1.13123,0.24555]",ZHOU
7,"[0.55214,0.41051,0.83285,0.64765,0.76456,0.35217,0.93049]","[1.11591,1.13501,0.26043,1.24659,0.91927,2.12883,0.19396]",ZHOU
7,"[0.90818,0.3135 ,0.75887,0.231  ,0.25173,0.04786,0.74131]","[1.12151,0.069  ,1.65706,0.87652,1.60045,0.68495,0.99051]",ZHOU
7,"[0.41227,0.41474,0.90424,0.17983,0.22795,0.44589,0.28529]","[1.4666 ,0.83146,0.54784,0.08501,1.61808,1.23796,1.21304]",ZHOU
7,"[0.38373,0.71721,0.07975,0.10299,0.75472,0.03538,0.59912]","[1.31399,0.66844,0.81205,1.20282,1.16742,1.05274,0.78254]",ZHOU
7,"[0.06552,0.07776,0.47036,0.22371,0.08411,0.01913,0.14687]","[0.41331,2.01901,0.9093 ,1.48656,0.51366,0.6616 ,0.99656]",ZHOU
7,"[0.2419 ,0.87195,0.36408,0.84042,0.4857 ,0.83124,0.59895]","[1.41297,0.73173,0.60076,1.38005,1.53364,0.09106,1.24978]",ZHOU
7,"[0.43913,0.61178,0.38265,0.27908,0.87603,0.646  ,0.49458]","[0.2238 ,1.32987,1.3237 ,1.01804,0.64621,1.07415,1.38423]",ZHOU
7,"[0.7121 ,0.41563,0.10911,0.62586,0.99544,0.05502,0.21778]","[1.52605,0.26019,0.88897,1.27445,1.65449,0.94673,0.44911]",ZHOU
7,"[0.80784,0.97132,0.66273,0.97879,0.5733 ,0.14422,0.77276]","[1.27955,1.39335,0.70776,0.05127,0.86284,1.50357,1.20166]",ZHOU
7,"[0.18526,0.41474,0.22854,0.1278 ,0.28425,0.68104,0.74202]","[1.83402,0.65475,1.81878,0.61035,0.62154,1.42654,0.03403]",ZHOU
7,"[0.24051,0.22953,0.59713,0.66142,0.58888,0.67191,0.45856]","[0.10026,1.28172,0.3703 ,1.16476,1.71783,0.60729,1.75784]",ZHOU
7,"[0.71305,0.09947,0.99526,0.53262,0.88795,0.59065,0.34643]","[0.99937,0.0213 ,0.99216,1.64577,0.99491,0.85368,1.49282]",ZHOU
7,"[0.3824 ,0.57385,0.98674,0.24879,0.08689,0.56738,0.30794]","[0.22098,1.11042,0.38079,1.50127,0.51767,1.90857,1.3603 ]",ZHOU
7,"[0.27466,0.49292,0.76486,0.42428,0.21287,0.06377,0.96926]","[0.48601,1.25994,1.00428,0.61974,0.50427,1.27517,1.8506 ]",ZHOU
7,"[0.8734 ,0.31843,0.87011,0.12786,0.00296,0.94466,0.19989]","[1.92255,1.03683,0.69572,1.07502,1.52174,0.63757,0.11057]",ZHOU
7,"[0.77443,0.31342,0.17374,0.53207,0.43781,0.26147,0.48447]","[1.30548,0.94233,1.74276,0.01691,0.65731,1.0345 ,1.30072]",ZHOU
7,"[0.42075,0.38684,0.50393,0.30746,0.11195,0.31847,0.86528]","[0.74858,0.90892,0.57558,0.61859,1.51854,1.38263,1.24717]",ZHOU
7,"[0.47905,0.34384,0.32024,0.10753,0.32705,0.80561,0.43301]","[0.06082,1.28666,2.24017,1.53566,0.07469,1.30374,0.49827]",ZHOU
7,"[0.08021,0.36841,0.11639,0.68005,0.42948,0.57899,0.06969]","[0.58042,1.05585,1.18312,1.59215,0.29133,1.91773,0.3794 ]",ZHOU
7,"[0.85972,0.60553,0.99143,0.5136 ,0.8954 ,0.11589,0.63121]","[1.22519,1.35995,0.3157 ,1.73124,0.56534,1.08634,0.71624]",ZHOU
7,"[0.3328 ,0.44777,0.01992,0.27455,0.5961 ,0.28059,0.9043 ]","[0.89873,0.80692,1.53476,0.09825,1.508  ,1.1396 ,1.01374]",CONTINUOUS
7,"[0.88894,0.32337,0.7118 ,0.8614 ,0.0469 ,0.96901,0.11728]","[0.93033,1.38984,0.43112,0.55784,0.98883,0.86062,1.84142]",CONTINUOUS
7,"[0.05457,0.38214,0.59745,0.04797,0.93228,0.85117,0.04028]","[1.61474,1.05507,1.34588,1.10776,0.93697,0.36443,0.57516]",CONTINUOUS
7,"[0.22735,0.3699 ,0.23086,0.00742,0.42245,0.71697,0.07375]","[1.977  ,0.92619,0.54764,0.61286,1.50287,0.96814,0.4653 ]",CONTINUOUS
7,"[0.99784,0.54297,0.23716,0.09575,0.52271,0.07175,0.12992]","[0.90926,1.06966,1.15044,2.09283,1.09283,0.44427,0.24072]",CONTINUOUS
7,"[0.22864,0.49215,0.34896,0.215  ,0.23817,0.237  ,0.00842]","[0.80157,1.12437,0.67554,1.74414,0.38275,1.52126,0.75037]",CONTINUOUS
7,"[0.13686,0.5195 ,0.11843,0.28381,0.04154,0.42833,0.7167 ]","[0.26479,0.81564,1.15484,1.86196,1.10481,0.91038,0.88758]",CONTINUOUS
7,"[0.19955,0.5537 ,0.83454,0.16796,0.51341,0.51232,0.60398]","[1.08012,1.2605 ,2.23051,0.4424 ,1.60374,0.31164,0.0711 ]",CONTINUOUS
7,"[0.72337,0.72726,0.43729,0.11803,0.19708,0.02897,0.95206]","[1.47594,1.15482,0.81312,0.62643,1.60298,0.95608,0.37064]",CONTINUOUS
7,"[0.20499,0.26002,0.2813 ,0.31607,0.68932,0.2151 ,0.30095]","[0.00569,1.01366,1.83989,0.19186,0.43271,1.40479,2.11139]",CONTINUOUS
7,"[0.43321,0.23972,0.86866,0.60751,0.55457,0.19402,0.57303]","[1.5565 ,1.56948,0.27316,0.24583,1.0948 ,1.59258,0.66766]",CONTINUOUS
7,"[0.38051,0.45404,0.05896,0.22979,0.47223,0.25854,0.89447]","[0.10736,0.80933,0.12382,1.16381,2.40649,0.65531,1.73388]",CONTINUOUS
7,"[0.16878,0.56831,0.99544,0.90171,0.06423,0.99718,0.64908]","[1.00801,0.96975,0.99754,1.1647 ,0.83123,1.32525,0.70352]",CONTINUOUS
7,"[0.63783,0.94839,0.06842,0.70692,0.13038,0.87251,0.74839]","[0.29776,1.37911,1.32758,0.21424,0.68387,1.6159 ,1.48153]",CONTINUOUS
7,"[0.23224,0.68517,0.27277,0.19734,0.34378,0.44158,0.53177]","[2.31559,0.67756,0.17054,0.72345,0.43437,2.28497,0.39352]",CONTINUOUS
7,"[0.06072,0.62322,0.61468,0.86615,0.61167,0.2315 ,0.65137]","[0.07538,0.39466,2.01796,1.51844,1.38426,1.58546,0.02385]",CONTINUOUS
7,"[0.8794 ,0.35302,0.25504,0.15428,0.33193,0.91969,0.16218]","[1.64271,0.92841,0.46646,0.92043,1.8934 ,0.52767,0.62092]",CONTINUOUS
7,"[0.99068,0.19348,0.24941,0.89416,0.48856,0.88692,0.21773]","[1.57908,0.04783,0.95757,0.6804 ,1.34734,1.67352,0.71424]",CONTINUOUS
7,"[0.89418,0.56592,0.93616,0.57527,0.63788,0.48517,0.20571]","[1.82169,0.26361,0.39341,1.7685 ,0.3525 ,1.62521,0.77508]",CONTINUOUS
7,"[0.33756,0.15767,0.16402,0.97234,0.16837,0.5869 ,0.85805]","[1.1314 ,0.40758,0.9511 ,1.19951,1.22787,1.45366,0.62888]",CONTINUOUS
7,"[0.43586,0.47819,0.5084 ,0.11088,0.68139,0.85028,0.40067]","[1.10509,1.3803 ,1.91378,0.06508,0.20999,2.25268,0.07309]",CONTINUOUS
7,"[0.4528 ,0.89126,0.6041 ,0.66126,0.07514,0.32257,0.12903]","[0.95886,1.40076,0.50565,1.05777,0.69378,1.03151,1.35168]",CONTINUOUS
7,"[0.38205,0.81547,0.24376,0.13304,0.45665,0.10091,0.46565]","[1.40997,1.00297,0.95468,1.23169,0.93669,1.24644,0.21757]",CONTINUOUS
7,"[0.72179,0.81139,0.6001 ,0.59248,0.2523 ,0.86205,0.14904]","[0.91812,0.05497,0.38729,1.21526,0.80996,1.84871,1.76569]",CONTINUOUS
7,"[0.54341,0.99941,0.48879,0.67541,0.42809,0.37671,0.82594]","[0.75194,2.21709,0.87173,0.00269,0.0794 ,1.39616,1.681  ]",CONTINUOUS
7,"[0.50397,0.27325,0.44101,0.47712,0.45912,0.94846,0.64907]","[0.62599,0.56085,1.29437,1.0913 ,1.13374,1.20491,1.08884]",CONTINUOUS
